%,OP Code Joined,Device_Time_Sum_us,Ops_Count,Op_Category,Flops_min,Flops_max,Flops_mean,Flops_std,Flops_weighted_mean
28.76,SliceDeviceOperation (in0:dram_interleaved),8792.03,19,TM,,,,,
23.63,PointToPointOp (in0:dram_interleaved),7224.59,12,Other,,,,,
8.73,MatmulDeviceOperation (in0:dram_interleaved),2667.47,5,Compute,6.33,13.90,9.03,3.40,12.42
7.47,FillPadDeviceOperation (in0:dram_interleaved),2282.28,1,TM,,,,,
6.15,BinaryNgDeviceOperation (in0:dram_interleaved),1880.76,12,Compute,,,,,
5.79,UntilizeDeviceOperation (in0:dram_interleaved),1769.34,5,TM,,,,,
4.79,ReshapeViewDeviceOperation (in0:dram_interleaved),1464.07,8,Other,,,,,
2.80,AllGatherDeviceOperation (in0:dram_interleaved),854.62,5,Other,,,,,
2.02,ScatterDeviceOperation (in0:dram_interleaved),617.61,2,Other,,,,,
1.93,ReduceScatterDeviceOperation (in0:dram_interleaved),591.19,2,DM,,,,,
1.61,FastReduceNCDeviceOperation (in0:dram_interleaved),492.80,2,Other,,,,,
1.53,UnaryNgDeviceOperation (in0:dram_interleaved),467.76,3,Other,,,,,
1.39,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),426.06,12,TM,,,,,
0.87,TilizeDeviceOperation (in0:dram_interleaved),267.05,2,TM,,,,,
0.73,LayerNormDeviceOperation (in0:dram_interleaved),224.37,2,Compute,,,,,
0.61,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),186.96,16,TM,,,,,
0.26,TopKDeviceOperation (in0:dram_interleaved),79.73,1,Other,,,,,
0.24,CopyDeviceOperation (in0:dram_interleaved),74.61,8,DM,,,,,
0.19,RepeatDeviceOperation (in0:dram_interleaved),58.36,1,Other,,,,,
0.08,RotaryEmbeddingDeviceOperation (in0:l1_interleaved),25.63,2,Other,,,,,
0.08,SoftmaxDeviceOperation (in0:dram_interleaved),24.71,1,Compute,,,,,
0.06,SdpaDecodeDeviceOperation (in0:dram_interleaved),18.44,1,Other,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),13.88,4,TM,,,,,
0.04,PermuteDeviceOperation (in0:dram_interleaved),12.34,3,TM,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),10.05,3,TM,,,,,
0.03,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),9.92,2,DM,,,,,
0.02,ReshapeViewDeviceOperation (in0:l1_interleaved),6.65,1,Other,,,,,
0.02,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),6.27,1,Other,,,,,
0.02,SliceDeviceOperation (in0:l1_interleaved),4.99,2,TM,,,,,
0.01,ShardedToInterleavedDeviceOperation (in0:height_sharded),3.75,2,DM,,,,,
0.01,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),3.72,1,TM,,,,,
0.01,InterleavedToShardedDeviceOperation (in0:dram_interleaved),2.83,2,DM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),2.13,1,TM,,,,,
0.01,MeshPartitionDeviceOperation (in0:dram_interleaved),1.56,1,Other,,,,,
0.00,ShardedToInterleavedDeviceOperation (in0:width_sharded),0.92,1,DM,,,,,
