%,OP Code Joined,Device_Time_Sum_us,Ops_Count,Op_Category,Flops_min,Flops_max,Flops_mean,Flops_std,Flops_weighted_mean
28.63,SliceDeviceOperation (in0:dram_interleaved),8786.11,19,TM,,,,,
24.00,PointToPointOp (in0:dram_interleaved),7365.24,12,Other,,,,,
8.69,MatmulDeviceOperation (in0:dram_interleaved),2667.71,5,Compute,6.34,13.91,9.04,3.40,12.41
7.43,FillPadDeviceOperation (in0:dram_interleaved),2281.09,1,TM,,,,,
6.01,BinaryNgDeviceOperation (in0:dram_interleaved),1843.52,12,Compute,,,,,
5.83,UntilizeDeviceOperation (in0:dram_interleaved),1788.36,5,TM,,,,,
4.77,ReshapeViewDeviceOperation (in0:dram_interleaved),1465.29,8,Other,,,,,
2.86,AllGatherDeviceOperation (in0:dram_interleaved),877.01,5,Other,,,,,
2.01,ScatterDeviceOperation (in0:dram_interleaved),617.60,2,Other,,,,,
1.92,ReduceScatterDeviceOperation (in0:dram_interleaved),590.67,2,DM,,,,,
1.61,FastReduceNCDeviceOperation (in0:dram_interleaved),494.08,2,Other,,,,,
1.51,UnaryNgDeviceOperation (in0:dram_interleaved),463.53,3,Other,,,,,
1.38,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),424.38,12,TM,,,,,
0.86,TilizeDeviceOperation (in0:dram_interleaved),265.25,2,TM,,,,,
0.73,LayerNormDeviceOperation (in0:dram_interleaved),224.55,2,Compute,,,,,
0.59,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),182.31,16,TM,,,,,
0.26,TopKDeviceOperation (in0:dram_interleaved),79.78,1,Other,,,,,
0.24,CopyDeviceOperation (in0:dram_interleaved),74.53,8,DM,,,,,
0.19,RepeatDeviceOperation (in0:dram_interleaved),58.58,1,Other,,,,,
0.08,RotaryEmbeddingDeviceOperation (in0:l1_interleaved),25.66,2,Other,,,,,
0.08,SoftmaxDeviceOperation (in0:dram_interleaved),23.25,1,Compute,,,,,
0.06,SdpaDecodeDeviceOperation (in0:dram_interleaved),18.89,1,Other,,,,,
0.04,TypecastDeviceOperation (in0:dram_interleaved),13.43,4,TM,,,,,
0.03,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),9.97,2,DM,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),8.55,3,TM,,,,,
0.03,PermuteDeviceOperation (in0:dram_interleaved),7.97,3,TM,,,,,
0.02,ReshapeViewDeviceOperation (in0:l1_interleaved),7.15,1,Other,,,,,
0.02,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),4.86,1,Other,,,,,
0.01,SliceDeviceOperation (in0:l1_interleaved),4.53,2,TM,,,,,
0.01,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),3.72,1,TM,,,,,
0.01,InterleavedToShardedDeviceOperation (in0:dram_interleaved),2.87,2,DM,,,,,
0.01,ShardedToInterleavedDeviceOperation (in0:height_sharded),2.68,2,DM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),2.05,1,TM,,,,,
0.01,MeshPartitionDeviceOperation (in0:dram_interleaved),1.54,1,Other,,,,,
0.00,ShardedToInterleavedDeviceOperation (in0:width_sharded),0.91,1,DM,,,,,
