%,OP Code Joined,Device_Time_Sum_us,Ops_Count,Op_Category,Flops_min,Flops_max,Flops_mean,Flops_std,Flops_weighted_mean
29.10,SliceDeviceOperation (in0:dram_interleaved),8792.03,19,TM,,,,,
23.91,PointToPointOp (in0:dram_interleaved),7224.59,12,Other,,,,,
8.63,MatmulDeviceOperation (in0:dram_interleaved),2607.21,3,Compute,6.73,13.90,10.65,3.63,12.55
7.55,FillPadDeviceOperation (in0:dram_interleaved),2282.28,1,TM,,,,,
6.19,BinaryNgDeviceOperation (in0:dram_interleaved),1870.77,10,Compute,,,,,
5.86,UntilizeDeviceOperation (in0:dram_interleaved),1769.34,5,TM,,,,,
4.85,ReshapeViewDeviceOperation (in0:dram_interleaved),1464.07,8,Other,,,,,
2.57,AllGatherDeviceOperation (in0:dram_interleaved),775.06,4,Other,,,,,
2.04,ScatterDeviceOperation (in0:dram_interleaved),617.61,2,Other,,,,,
1.96,ReduceScatterDeviceOperation (in0:dram_interleaved),591.19,2,DM,,,,,
1.60,FastReduceNCDeviceOperation (in0:dram_interleaved),483.06,1,Other,,,,,
1.55,UnaryNgDeviceOperation (in0:dram_interleaved),467.76,3,Other,,,,,
1.41,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),426.06,12,TM,,,,,
0.88,TilizeDeviceOperation (in0:dram_interleaved),267.05,2,TM,,,,,
0.62,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),186.96,16,TM,,,,,
0.37,LayerNormDeviceOperation (in0:dram_interleaved),112.20,1,Compute,,,,,
0.26,TopKDeviceOperation (in0:dram_interleaved),79.73,1,Other,,,,,
0.25,CopyDeviceOperation (in0:dram_interleaved),74.61,8,DM,,,,,
0.19,RepeatDeviceOperation (in0:dram_interleaved),58.36,1,Other,,,,,
0.08,SoftmaxDeviceOperation (in0:dram_interleaved),24.71,1,Compute,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),13.88,4,TM,,,,,
0.04,PermuteDeviceOperation (in0:dram_interleaved),12.34,3,TM,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),10.05,3,TM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),2.13,1,TM,,,,,
0.01,MeshPartitionDeviceOperation (in0:dram_interleaved),1.56,1,Other,,,,,
